
# Surface 0 of 1 surfaces

# Curve title: "r*cos(v)*cos(u),r*cos(v)*sin(u),r*sin(v)"

# IsoCurve 0, 25 points
# x y z type
-0.086271 0.0 -0.986233 i
-0.083706 -0.0 -0.986233 i
-0.0754049 -0.0 -0.986233 i
-0.0619367 -0.1 -0.986233 i
-0.0442243 -0.1 -0.986233 i
-0.0234814 -0.1 -0.986233 i
-0.00112943 -0.1 -0.986233 i
 0.0212999 -0.1 -0.986233 i
 0.0422697 -0.1 -0.986233 i
 0.060343 -0.1 -0.986233 i
 0.0742812 -0.0 -0.986233 i
 0.0831293 -0.0 -0.986233 i
 0.0862809 -0.0 -0.986233 i
 0.0835201 0.0 -0.986233 i
 0.0750361 0.0 -0.986233 i
 0.0614101 0.1 -0.986233 i
 0.0435761 0.1 -0.986233 i
 0.022756 0.1 -0.986233 i
 0.000376485 0.1 -0.986233 i
-0.0220288 0.1 -0.986233 i
-0.0429245 0.1 -0.986233 i
-0.0608789 0.1 -0.986233 i
-0.0746615 0.0 -0.986233 i
-0.0833279 0.0 -0.986233 i
-0.0862842 0.0 -0.986233 i

# IsoCurve 1, 25 points
# x y z type
 0.0467721 -0.0 -0.988894 i
 0.0453814 0.0 -0.988894 i
 0.040881 0.0 -0.988894 i
 0.0335792 0.0 -0.988894 i
 0.0239763 0.0 -0.988894 i
 0.0127305 0.0 -0.988894 i
 0.000612321 0.0 -0.988894 i
-0.0115478 0.0 -0.988894 i
-0.0229167 0.0 -0.988894 i
-0.0327151 0.0 -0.988894 i
-0.0402718 0.0 -0.988894 i
-0.0450688 0.0 -0.988894 i
-0.0467774 0.0 -0.988894 i
-0.0452807 -0.0 -0.988894 i
-0.040681 -0.0 -0.988894 i
-0.0332937 -0.0 -0.988894 i
-0.0236249 -0.0 -0.988894 i
-0.0123372 -0.0 -0.988894 i
-0.000204112 -0.0 -0.988894 i
 0.011943 -0.0 -0.988894 i
 0.0232717 -0.0 -0.988894 i
 0.0330057 -0.0 -0.988894 i
 0.0404779 -0.0 -0.988894 i
 0.0451764 -0.0 -0.988894 i
 0.0467792 -0.0 -0.988894 i

# IsoCurve 2, 25 points
# x y z type
 0.17897 -0.0 -0.973684 i
 0.173649 0.0 -0.973684 i
 0.156428 0.1 -0.973684 i
 0.128488 0.1 -0.973684 i
 0.0917437 0.2 -0.973684 i
 0.0487123 0.2 -0.973684 i
 0.002343 0.2 -0.973684 i
-0.0441869 0.2 -0.973684 i
-0.0876889 0.2 -0.973684 i
-0.125182 0.1 -0.973684 i
-0.154097 0.1 -0.973684 i
-0.172452 0.0 -0.973684 i
-0.17899 0.0 -0.973684 i
-0.173263 -0.0 -0.973684 i
-0.155663 -0.1 -0.973684 i
-0.127396 -0.1 -0.973684 i
-0.0903989 -0.2 -0.973684 i
-0.0472074 -0.2 -0.973684 i
-0.00078102 -0.2 -0.973684 i
 0.0456989 -0.2 -0.973684 i
 0.0890473 -0.2 -0.973684 i
 0.126294 -0.1 -0.973684 i
 0.154886 -0.1 -0.973684 i
 0.172864 -0.0 -0.973684 i
 0.178997 -0.0 -0.973684 i

# IsoCurve 3, 25 points
# x y z type
 0.307933 -0.0 -0.940876 i
 0.298778 0.1 -0.940876 i
 0.269148 0.1 -0.940876 i
 0.221075 0.2 -0.940876 i
 0.157853 0.3 -0.940876 i
 0.0838138 0.3 -0.940876 i
 0.00403134 0.3 -0.940876 i
-0.0760274 0.3 -0.940876 i
-0.150876 0.3 -0.940876 i
-0.215386 0.2 -0.940876 i
-0.265137 0.2 -0.940876 i
-0.296719 0.1 -0.940876 i
-0.307969 0.0 -0.940876 i
-0.298114 -0.1 -0.940876 i
-0.267831 -0.2 -0.940876 i
-0.219196 -0.2 -0.940876 i
-0.155539 -0.3 -0.940876 i
-0.0812245 -0.3 -0.940876 i
-0.00134381 -0.3 -0.940876 i
 0.0786289 -0.3 -0.940876 i
 0.153214 -0.3 -0.940876 i
 0.217299 -0.2 -0.940876 i
 0.266494 -0.2 -0.940876 i
 0.297428 -0.1 -0.940876 i
 0.30798 -0.0 -0.940876 i

# IsoCurve 4, 25 points
# x y z type
 0.431332 -0.0 -0.891065 i
 0.418507 0.1 -0.891065 i
 0.377004 0.2 -0.891065 i
 0.309667 0.3 -0.891065 i
 0.221109 0.4 -0.891065 i
 0.117401 0.4 -0.891065 i
 0.00564682 0.4 -0.891065 i
-0.106494 0.4 -0.891065 i
-0.211337 0.4 -0.891065 i
-0.301698 0.3 -0.891065 i
-0.371386 0.2 -0.891065 i
-0.415624 0.1 -0.891065 i
-0.431381 0.0 -0.891065 i
-0.417578 -0.1 -0.891065 i
-0.37516 -0.2 -0.891065 i
-0.307034 -0.3 -0.891065 i
-0.217868 -0.4 -0.891065 i
-0.113774 -0.4 -0.891065 i
-0.00188232 -0.4 -0.891065 i
 0.110138 -0.4 -0.891065 i
 0.214611 -0.4 -0.891065 i
 0.304378 -0.3 -0.891065 i
 0.373287 -0.2 -0.891065 i
 0.416616 -0.1 -0.891065 i
 0.431397 -0.0 -0.891065 i

# IsoCurve 5, 25 points
# x y z type
 0.546935 -0.0 -0.825149 i
 0.530673 0.1 -0.825149 i
 0.478046 0.3 -0.825149 i
 0.392662 0.4 -0.825149 i
 0.28037 0.5 -0.825149 i
 0.148866 0.5 -0.825149 i
 0.00716024 0.5 -0.825149 i
-0.135036 0.5 -0.825149 i
-0.267978 0.5 -0.825149 i
-0.382558 0.4 -0.825149 i
-0.470922 0.3 -0.825149 i
-0.527017 0.1 -0.825149 i
-0.546997 0.0 -0.825149 i
-0.529494 -0.1 -0.825149 i
-0.475708 -0.3 -0.825149 i
-0.389323 -0.4 -0.825149 i
-0.27626 -0.5 -0.825149 i
-0.144267 -0.5 -0.825149 i
-0.00238681 -0.5 -0.825149 i
 0.139656 -0.5 -0.825149 i
 0.27213 -0.5 -0.825149 i
 0.385955 -0.4 -0.825149 i
 0.473333 -0.3 -0.825149 i
 0.528276 -0.1 -0.825149 i
 0.547018 -0.0 -0.825149 i

# IsoCurve 6, 25 points
# x y z type
 0.652653 -0.0 -0.744321 i
