
# Surface 0 of 1 surfaces

# Curve title: "v(x,y)"

# Contour 0, label:    -0.36
 2.27578 -0.5 -0.36 
 2.27273 -0.479956 -0.36 
 2.2686 -0.45 -0.36 
 2.25877 -0.4 -0.36 
 2.24602 -0.35 -0.36 
 2.23232 -0.307229 -0.36 
 2.23025 -0.3 -0.36 
 2.21224 -0.25 -0.36 
 2.19192 -0.202562 -0.36 
 2.19095 -0.2 -0.36 
 2.16775 -0.15 -0.36 
 2.15152 -0.120346 -0.36 
 2.14174 -0.1 -0.36 
 2.11343 -0.05 -0.36 
 2.11111 -0.0465897 -0.36 
 2.08376  0 -0.36 
 2.07071  0.0189361 -0.36 
 2.05235  0.05 -0.36 
 2.0303  0.0818787 -0.36 
 2.01966  0.1 -0.36 
 1.9899  0.143544 -0.36 
 1.98619  0.15 -0.36 
 1.95271  0.2 -0.36 
 1.94949  0.204082 -0.36 
 1.91974  0.25 -0.36 
 1.90909  0.264252 -0.36 
 1.88729  0.3 -0.36 
 1.86869  0.326899 -0.36 
 1.85573  0.35 -0.36 
 1.82828  0.394187 -0.36 
 1.82537  0.4 -0.36 
 1.79717  0.45 -0.36 
 1.78788  0.465118 -0.36 
 1.77076  0.5 -0.36 
 1.74747  0.546671 -0.36 
 1.74614  0.55 -0.36 
 1.72425  0.6 -0.36 
 1.70707  0.642064 -0.36 
 1.70441  0.65 -0.36 
 1.68721  0.7 -0.36 
 1.67251  0.75 -0.36 
 1.66667  0.772682 -0.36 
 1.66043  0.8 -0.36 
 1.65085  0.85 -0.36 
 1.64401  0.9 -0.36 
 1.63993  0.95 -0.36 
 1.63858  1 -0.36 
 1.63993  1.05 -0.36 
 1.64401  1.1 -0.36 
 1.65085  1.15 -0.36 
 1.66043  1.2 -0.36 
 1.66667  1.22732 -0.36 
 1.67251  1.25 -0.36 
 1.68721  1.3 -0.36 
 1.70441  1.35 -0.36 
 1.70707  1.35794 -0.36 
 1.72425  1.4 -0.36 
 1.74614  1.45 -0.36 
 1.74747  1.45333 -0.36 
 1.77076  1.5 -0.36 
 1.78788  1.53488 -0.36 
 1.79717  1.55 -0.36 
 1.82537  1.6 -0.36 
 1.82828  1.60581 -0.36 
 1.85573  1.65 -0.36 
 1.86869  1.6731 -0.36 
 1.88729  1.7 -0.36 
 1.90909  1.73575 -0.36 
 1.91974  1.75 -0.36 
 1.94949  1.79592 -0.36 
 1.95271  1.8 -0.36 
 1.98619  1.85 -0.36 
 1.9899  1.85646 -0.36 
 2.01966  1.9 -0.36 
 2.0303  1.91812 -0.36 
 2.05235  1.95 -0.36 
 2.07071  1.98106 -0.36 
 2.08376  2 -0.36 
 2.11111  2.04659 -0.36 
 2.11343  2.05 -0.36 
 2.14174  2.1 -0.36 
 2.15152  2.12035 -0.36 
 2.16775  2.15 -0.36 
 2.19095  2.2 -0.36 
 2.19192  2.20256 -0.36 
 2.21224  2.25 -0.36 
 2.23025  2.3 -0.36 
 2.23232  2.30723 -0.36 
 2.24602  2.35 -0.36 
 2.25877  2.4 -0.36 
 2.2686  2.45 -0.36 
 2.27273  2.47996 -0.36 
 2.27578  2.5 -0.36 


# Contour 1, label:    -0.38
 2.20138 -0.5 -0.38 
 2.1982 -0.45 -0.38 
 2.19218 -0.4 -0.38 
 2.19192 -0.39859 -0.38 
 2.18374 -0.35 -0.38 
 2.1725 -0.3 -0.38 
 2.15833 -0.25 -0.38 
 2.15152 -0.23096 -0.38 
 2.14171 -0.2 -0.38 
 2.12252 -0.15 -0.38 
 2.11111 -0.12532 -0.38 
 2.10087 -0.1 -0.38 
 2.07693 -0.05 -0.38 
 2.07071 -0.0391625 -0.38 
 2.05131  0 -0.38 
 2.0303  0.0364411 -0.38 
 2.02361  0.05 -0.38 
 1.99473  0.1 -0.38 
 1.9899  0.107061 -0.38 
 1.96522  0.15 -0.38 
 1.94949  0.173671 -0.38 
 1.93492  0.2 -0.38 
 1.90909  0.240848 -0.38 
 1.90431  0.25 -0.38 
 1.8743  0.3 -0.38 
 1.86869  0.308114 -0.38 
 1.8452  0.35 -0.38 
 1.82828  0.377232 -0.38 
 1.81686  0.4 -0.38 
 1.78976  0.45 -0.38 
 1.78788  0.453061 -0.38 
 1.76485  0.5 -0.38 
 1.74747  0.534818 -0.38 
 1.74137  0.55 -0.38 
 1.7202  0.6 -0.38 
 1.70707  0.63216 -0.38 
 1.70109  0.65 -0.38 
 1.68439  0.7 -0.38 
 1.67012  0.75 -0.38 
 1.66667  0.763422 -0.38 
 1.65831  0.8 -0.38 
 1.64898  0.85 -0.38 
 1.64231  0.9 -0.38 
 1.63834  0.95 -0.38 
 1.63702  1 -0.38 
 1.63834  1.05 -0.38 
 1.64231  1.1 -0.38 
 1.64898  1.15 -0.38 
 1.65831  1.2 -0.38 
 1.66667  1.23658 -0.38 
 1.67012  1.25 -0.38 
 1.68439  1.3 -0.38 
 1.70109  1.35 -0.38 
 1.70707  1.36784 -0.38 
 1.7202  1.4 -0.38 
 1.74137  1.45 -0.38 
 1.74747  1.46518 -0.38 
 1.76485  1.5 -0.38 
 1.78788  1.54694 -0.38 
 1.78976  1.55 -0.38 
 1.81686  1.6 -0.38 
 1.82828  1.62277 -0.38 
 1.8452  1.65 -0.38 
 1.86869  1.69189 -0.38 
 1.8743  1.7 -0.38 
 1.90431  1.75 -0.38 
 1.90909  1.75915 -0.38 
 1.93492  1.8 -0.38 
 1.94949  1.82633 -0.38 
 1.96522  1.85 -0.38 
 1.9899  1.89294 -0.38 
 1.99473  1.9 -0.38 
 2.02361  1.95 -0.38 
 2.0303  1.96356 -0.38 
 2.05131  2 -0.38 
 2.07071  2.03916 -0.38 
 2.07693  2.05 -0.38 
 2.10087  2.1 -0.38 
 2.11111  2.12532 -0.38 
 2.12252  2.15 -0.38 
 2.14171  2.2 -0.38 
 2.15152  2.23096 -0.38 
 2.15833  2.25 -0.38 
 2.1725  2.3 -0.38 
 2.18374  2.35 -0.38 
 2.19192  2.39859 -0.38 
 2.19218  2.4 -0.38 
 2.1982  2.45 -0.38 
 2.20138  2.5 -0.38 


# Contour 2, label:    -0.42
 2.06856 -0.5 -0.42 
 2.07071 -0.475805 -0.42 
 2.07294 -0.45 -0.42 
 2.07455 -0.4 -0.42 
 2.07334 -0.35 -0.42 
 2.07071 -0.31799 -0.42 
 2.06939 -0.3 -0.42 
 2.0629 -0.25 -0.42 
 2.05375 -0.2 -0.42 
 2.04187 -0.15 -0.42 
 2.0303 -0.111194 -0.42 
 2.02739 -0.1 -0.42 
 2.01103 -0.05 -0.42 
 1.99195  0 -0.42 
 1.9899  0.00437728 -0.42 
 1.97157  0.05 -0.42 
 1.94949  0.098336 -0.42 
 1.94885  0.1 -0.42 
 1.92555  0.15 -0.42 
 1.90909  0.181108 -0.42 
 1.90074  0.2 -0.42 
 1.87542  0.25 -0.42 
 1.86869  0.26146 -0.42 
 1.8501  0.3 -0.42 
 1.82828  0.341185 -0.42 
 1.82447  0.35 -0.42 
 1.79986  0.4 -0.42 
 1.78788  0.422326 -0.42 
 1.77589  0.45 -0.42 
 1.75302  0.5 -0.42 
 1.74747  0.511112 -0.42 
 1.73183  0.55 -0.42 
 1.71211  0.6 -0.42 
 1.70707  0.612351 -0.42 
 1.69444  0.65 -0.42 
 1.67876  0.7 -0.42 
 1.66667  0.744317 -0.42 
 1.66533  0.75 -0.42 
 1.65408  0.8 -0.42 
 1.64523  0.85 -0.42 
 1.63891  0.9 -0.42 
 1.63515  0.95 -0.42 
 1.6339  1 -0.42 
 1.63515  1.05 -0.42 
 1.63891  1.1 -0.42 
 1.64523  1.15 -0.42 
 1.65408  1.2 -0.42 
 1.66533  1.25 -0.42 
 1.66667  1.25568 -0.42 
 1.67876  1.3 -0.42 
 1.69444  1.35 -0.42 
 1.70707  1.38765 -0.42 
 1.71211  1.4 -0.42 
 1.73183  1.45 -0.42 
 1.74747  1.48889 -0.42 
 1.75302  1.5 -0.42 
 1.77589  1.55 -0.42 
 1.78788  1.57767 -0.42 
 1.79986  1.6 -0.42 
 1.82447  1.65 -0.42 
 1.82828  1.65882 -0.42 
 1.8501  1.7 -0.42 
 1.86869  1.73854 -0.42 
 1.87542  1.75 -0.42 
 1.90074  1.8 -0.42 
 1.90909  1.81889 -0.42 
 1.92555  1.85 -0.42 
 1.94885  1.9 -0.42 
 1.94949  1.90166 -0.42 
 1.97157  1.95 -0.42 
 1.9899  1.99562 -0.42 
 1.99195  2 -0.42 
 2.01103  2.05 -0.42 
 2.02739  2.1 -0.42 
 2.0303  2.11119 -0.42 
 2.04187  2.15 -0.42 
 2.05375  2.2 -0.42 
 2.0629  2.25 -0.42 
 2.06939  2.3 -0.42 
 2.07071  2.31799 -0.42 
 2.07334  2.35 -0.42 
 2.07455  2.4 -0.42 
 2.07294  2.45 -0.42 
 2.07071  2.47581 -0.42 
 2.06856  2.5 -0.42 


# Contour 3, label:    -0.45
 1.97901 -0.5 -0.45 
 1.98863 -0.45 -0.45 
 1.9899 -0.441021 -0.45 
 1.99549 -0.4 -0.45 
 1.99948 -0.35 -0.45 
 2.0006 -0.3 -0.45 
 1.99892 -0.25 -0.45 
 1.99448 -0.2 -0.45 
 1.9899 -0.169039 -0.45 
 1.98743 -0.15 -0.45 
 1.97807 -0.1 -0.45 
 1.96616 -0.05 -0.45 
 1.95168  0 -0.45 
 1.94949  0.00595766 -0.45 
 1.93564  0.05 -0.45 
 1.91742  0.1 -0.45 
 1.90909  0.119139 -0.45 
 1.89777  0.15 -0.45 
 1.87675  0.2 -0.45 
 1.86869  0.216381 -0.45 
 1.85496  0.25 -0.45 
 1.83231  0.3 -0.45 
 1.82828  0.307611 -0.45 
 1.80994  0.35 -0.45 
